lat,lon,risk
40.87,-73.0,0.0
40.87,-72.9,0.22216273759777858
40.87,-72.8,0.0
40.87,-72.6,0.0
40.87,-72.5,0.0
40.87,-72.4,0.0
40.88,-73.9,0.0
40.88,-73.8,0.07542027692044248
40.88,-73.7,0.0
40.88,-73.6,0.0
40.88,-73.5,0.0
40.88,-73.4,0.0
40.88,-73.3,0.0
40.88,-73.2,0.0
40.88,-73.1,0.0
40.88,-73.0,0.0
40.88,-72.9,0.2909999447837392
40.88,-72.8,0.35868669044044243
40.88,-72.7,0.29169242750187285
40.88,-72.6,0.0
40.88,-72.5,0.0
40.88,-72.4,0.0
40.89,-73.9,0.0
40.89,-73.8,0.06684387850155987
40.89,-73.6,0.0
40.89,-73.5,0.0
40.89,-73.4,0.0
40.89,-73.3,0.0
40.89,-73.2,0.0
40.89,-73.1,0.0
40.89,-73.0,0.0
40.89,-72.9,0.2599676161755997
40.89,-72.8,0.211438817048512
40.89,-72.7,0.0
40.89,-72.6,0.0
40.89,-72.5,0.0
40.89,-72.4,0.0
40.89,-72.3,0.0
40.9,-73.9,0.0
40.9,-73.8,0.06479915627959712
40.9,-73.7,0.0
40.9,-73.6,0.0
40.9,-73.5,0.0
40.9,-73.4,0.0
40.9,-73.3,0.0
40.9,-73.2,0.0
40.9,-73.1,0.0
40.9,-73.0,0.2785134650325345
40.9,-72.9,0.22331577320338555
40.9,-72.8,0.23621219662573212
40.9,-72.7,0.0
40.9,-72.6,0.0
40.9,-72.5,0.0
40.9,-72.4,0.0
40.9,-72.3,0.0
40.91,-73.9,0.0
40.91,-73.8,0.09588624740342266
40.91,-73.6,0.0
40.91,-73.5,0.0
40.91,-73.4,0.0
40.91,-73.3,0.0
40.91,-73.2,0.0
40.91,-73.1,0.0
40.91,-73.0,0.2830395790367271
40.91,-72.9,0.3525577455582923
40.91,-72.8,0.2478907631090155
40.91,-72.7,0.0
40.91,-72.6,0.0
40.91,-72.5,0.42723888271407906
40.91,-72.4,0.0
40.91,-72.3,0.0
40.92,-73.9,0.0
40.92,-73.8,0.06938950120368688
40.92,-73.7,0.0
40.92,-73.6,0.0
40.92,-73.5,0.0
40.92,-73.4,0.0
40.92,-73.3,0.0
40.92,-73.2,0.0
40.92,-73.1,0.0
40.92,-73.0,0.0
40.92,-72.9,0.26843608326715435
40.92,-72.8,0.2895636116588466
40.92,-72.7,0.0
40.92,-72.6,0.0
40.92,-72.4,0.0
40.92,-72.3,0.0
40.93,-73.9,0.09643079931936739
40.93,-73.8,0.07441892472524565
40.93,-73.7,0.10085316194527807
40.93,-73.5,0.0
40.93,-73.4,0.0
40.93,-73.3,0.0
40.93,-73.1,0.0
40.93,-73.0,0.0
40.93,-72.9,0.28165961579756643
40.93,-72.8,0.3107756342912846
40.93,-72.7,0.30502424752993534
40.93,-72.6,0.0
40.93,-72.4,0.0
40.93,-72.3,0.0
40.93,-72.2,0.0
40.94,-73.9,0.0
40.94,-73.8,0.07195511879571412
40.94,-73.7,0.07975123630236214
40.94,-73.5,0.0
40.94,-73.4,0.0
40.94,-73.2,0.0
40.94,-73.1,0.0
40.94,-73.0,0.0
40.94,-72.9,0.22862274478226846
40.94,-72.8,0.2797469398230849
40.94,-72.7,0.0
40.94,-72.6,0.0
40.94,-72.4,0.0
40.94,-72.3,0.0
40.94,-72.2,0.0
40.95,-73.9,0.0
40.95,-73.8,0.08063821610820843
40.95,-73.7,0.09541989226279854
40.95,-73.6,0.0
40.95,-73.4,0.0
40.95,-73.1,0.0
40.95,-73.0,0.0
40.95,-72.9,0.2826626986524656
40.95,-72.8,0.2910424419216794
40.95,-72.7,0.0
40.95,-72.6,0.0
40.95,-72.5,0.0
40.95,-72.4,0.0
40.95,-72.3,0.0
40.95,-72.2,0.0
40.96,-73.9,0.0
40.96,-73.8,0.08220047404903023
40.96,-73.7,0.08497093459528247
40.96,-73.6,0.0
40.96,-73.1,0.0
40.96,-73.0,0.0
40.96,-72.9,0.2861812229373749
40.96,-72.8,0.28288728703927307
40.96,-72.7,0.0
40.96,-72.6,0.0
40.96,-72.5,0.0
40.96,-72.4,0.0
40.96,-72.3,0.0
40.96,-72.2,0.0
40.97,-73.9,0.09247472140723224
