lat,lon,dist_km
40.65,-73.2,6.9775618934229335
40.65,-73.1,20.684571799739153
40.66,-74.0,5.95686905223469
40.66,-73.9,5.76916070856998
40.66,-73.8,7.310346527826324
40.66,-73.7,9.124472660903809
40.66,-73.6,13.721891966251748
40.66,-73.5,11.268701272399543
40.66,-73.4,16.043505123300182
40.66,-73.1,11.104830670465553
40.67,-74.0,5.386633786508077
40.67,-73.9,5.201408591337418
40.67,-73.8,13.193624176652985
40.67,-73.7,6.466699431253411
40.67,-73.6,8.95639073712304
40.67,-73.5,6.9623518199635965
40.67,-73.4,10.738556263579436
40.67,-73.3,10.449880355437415
40.68,-74.0,6.938030447677373
40.68,-73.9,5.3172352716174816
40.68,-73.8,5.750389589386749
40.68,-73.7,8.154503544624557
40.68,-73.6,9.089236889314757
40.68,-73.5,7.114303973994389
40.68,-73.4,9.000894613581895
40.68,-73.3,13.54854253024199
40.69,-74.0,6.402068864532076
40.69,-73.9,9.77174632798979
40.69,-73.8,6.250755652773661
40.69,-73.7,7.974687939699464
40.69,-73.6,9.457242083655057
40.69,-73.5,8.56198120265778
40.69,-73.4,12.275822609620487
40.69,-73.3,12.730005423657417
40.7,-74.0,6.776174011917755
40.7,-73.9,5.135254633307266
40.7,-73.8,11.351446345948967
40.7,-73.7,6.7165706495486965
40.7,-73.6,6.647125901888231
40.7,-73.5,12.393705371144465
40.7,-73.4,10.059359881377587
40.7,-73.3,17.14395119942988
40.7,-73.2,3.2327041452985386
40.71,-74.0,14.446375558716323
40.71,-73.9,8.43484743172333
40.71,-73.8,5.712764367168906
40.71,-73.7,7.829380930579324
40.71,-73.6,9.484852940348386
40.71,-73.5,10.127030905510157
40.71,-73.4,10.305840568025248
40.71,-73.3,8.969114703611838
40.71,-73.2,8.399093205344643
40.72,-74.0,4.689195391062955
40.72,-73.9,11.643445492930187
40.72,-73.8,5.830639535252526
40.72,-73.7,15.205934410848787
40.72,-73.6,7.772235045577205
40.72,-73.5,10.872857396262303
40.72,-73.4,12.9811209571146
40.72,-73.3,10.179573787108266
40.72,-73.2,13.689056568431022
40.72,-73.1,12.538805228739594
40.73,-74.0,5.418860369248253
40.73,-73.9,5.673917339362224
40.73,-73.8,5.269552985216104
40.73,-73.7,8.033595784047684
40.73,-73.6,11.153401538717711
40.73,-73.5,6.644349365723867
40.73,-73.4,8.726781229754359
40.73,-73.3,8.497313773453458
40.73,-73.2,8.837847973123854
40.73,-73.1,13.061669673190037
40.73,-73.0,26.87707267706547
40.73,-72.9,0.0
40.74,-74.0,6.509499129824361
40.74,-73.9,4.869330726450348
40.74,-73.8,6.878667637111471
40.74,-73.7,9.548003146257651
40.74,-73.6,13.14004148137744
40.74,-73.5,8.852196036871092
40.74,-73.4,14.69493206597185
40.74,-73.3,9.917805165177088
40.74,-73.2,13.904288615485173
40.74,-73.1,10.292211870742811
40.74,-73.0,12.98570991225597
40.74,-72.9,7.084958074922416
40.75,-74.0,9.519933645893248
40.75,-73.9,8.00458112891338
40.75,-73.8,6.521169938945855
40.75,-73.7,8.713161441572735
40.75,-73.6,9.111473822067893
40.75,-73.5,11.616874986974327
40.75,-73.4,11.10734701354424
40.75,-73.3,11.271374084424338
40.75,-73.2,14.319743994670329
40.75,-73.1,9.861863639985781
40.75,-73.0,11.507192959311615
40.75,-72.9,17.143110234127256
40.75,-72.8,15.252292123216195
40.76,-74.0,7.376672482817601
40.76,-73.9,4.846688659847848
40.76,-73.8,5.519496437581469
40.76,-73.7,9.51221489948459
40.76,-73.6,7.5365429905908625
40.76,-73.5,14.097927238799272
40.76,-73.4,12.150247130052053
40.76,-73.3,8.325854705025732
40.76,-73.2,13.880639386318029
40.76,-73.1,11.849231319600824
40.76,-73.0,8.225561766198108
40.76,-72.9,9.501104579956593
40.76,-72.8,14.740005957895198
40.77,-74.0,8.497365552082357
40.77,-73.9,6.511883492944799
40.77,-73.8,14.945063224268937
40.77,-73.7,10.515875622962886
40.77,-73.6,7.416965513027902
40.77,-73.5,17.483135855748042
40.77,-73.4,15.130777660217698
40.77,-73.3,12.481888181603182
40.77,-73.2,12.27815430730116
40.77,-73.1,11.555500677954576
40.77,-73.0,7.840736103959834
40.77,-72.9,10.31106097573362
40.77,-72.8,10.879629121127431
40.77,-72.7,16.657051442657576
40.78,-74.0,4.990586990116016
40.78,-73.9,3.867538935477036
40.78,-73.8,7.427602872113458
40.78,-73.7,8.61813149161699
40.78,-73.6,12.36507221129711
40.78,-73.5,10.514354455895413
40.78,-73.4,16.076525122128352
40.78,-73.3,9.681875405541643
40.78,-73.2,6.760651835569943
40.78,-73.1,15.646092441925
40.78,-73.0,15.847264391791615
40.78,-72.9,14.143216356120561
40.78,-72.8,22.56366443001633
40.78,-72.7,14.04885146782904
40.79,-74.0,8.398625275958555
40.79,-73.9,6.468344232422948
40.79,-73.8,10.023240268309623
40.79,-73.7,7.226975152366868
40.79,-73.6,7.193188275318533
40.79,-73.5,9.966279220021615
40.79,-73.4,9.144046403771295
40.79,-73.3,11.6110082152189
40.79,-73.2,17.961790625756052
40.79,-73.1,10.95598589758076
40.79,-73.0,12.50413457379545
40.79,-72.9,14.99883128218119
40.79,-72.8,16.62367586100485
40.79,-72.7,27.493132321367977
40.79,-72.6,3.331504217354504
40.8,-74.0,4.420652212809802
40.8,-73.9,6.1521844461640285
